θs,fp_hipm,fp_wow
0.0,0.0,0.0
0.01,0.009,0.011
0.02,0.013,0.019
0.03,0.018,0.023
0.04,0.032,0.034
0.05,0.042,0.039
0.06,0.048,0.056
0.07,0.06,0.061
0.08,0.07,0.069
0.09,0.081,0.077
0.1,0.088,0.084
0.11,0.101,0.097
0.12,0.11,0.102
0.13,0.122,0.115
0.14,0.131,0.124
0.15,0.145,0.132
0.16,0.158,0.142
0.17,0.163,0.152
0.18,0.171,0.159
0.19,0.184,0.175
0.2,0.192,0.188
0.21,0.201,0.2
0.22,0.21,0.206
0.23,0.227,0.218
0.24,0.233,0.228
0.25,0.24,0.237
0.26,0.25,0.246
0.27,0.252,0.256
0.28,0.266,0.268
0.29,0.277,0.279
0.3,0.29,0.29
0.31,0.299,0.299
0.32,0.311,0.311
0.33,0.319,0.323
0.34,0.329,0.331
0.35,0.335,0.34
0.36,0.343,0.348
0.37,0.354,0.353
0.38,0.358,0.359
0.39,0.366,0.367
0.4,0.376,0.376
0.41,0.385,0.386
0.42,0.396,0.396
0.43,0.403,0.409
0.44,0.416,0.417
0.45,0.427,0.426
0.46,0.435,0.439
0.47,0.447,0.444
0.48,0.454,0.45
0.49,0.463,0.462
0.5,0.475,0.469
0.51,0.486,0.48
0.52,0.495,0.497
0.53,0.51,0.511
0.54,0.523,0.523
0.55,0.532,0.536
0.56,0.545,0.544
0.57,0.553,0.557
0.58,0.563,0.567
0.59,0.568,0.579
0.6,0.584,0.589
0.61,0.592,0.594
0.62,0.6,0.603
0.63,0.612,0.617
0.64,0.619,0.634
0.65,0.63,0.643
0.66,0.641,0.649
0.67,0.653,0.661
0.68,0.665,0.668
0.69,0.67,0.673
0.7,0.683,0.681
0.71,0.694,0.691
0.72,0.7,0.701
0.73,0.709,0.708
0.74,0.726,0.718
0.75,0.736,0.729
0.76,0.745,0.74
0.77,0.756,0.75
0.78,0.767,0.758
0.79,0.776,0.772
0.8,0.779,0.782
0.81,0.788,0.794
0.82,0.799,0.802
0.83,0.803,0.813
0.84,0.813,0.82
0.85,0.825,0.833
0.86,0.833,0.842
0.87,0.844,0.852
0.88,0.861,0.868
0.89,0.873,0.882
0.9,0.884,0.892
0.91,0.896,0.896
0.92,0.909,0.908
0.93,0.917,0.922
0.94,0.931,0.93
0.95,0.945,0.941
0.96,0.955,0.955
0.97,0.962,0.963
0.98,0.975,0.97
0.99,0.984,0.982
1.0,0.991,0.991
