δs,hipm,wow
0.0,0.058,0.06
0.05,0.046,0.058
0.1,0.044,0.056
0.15,0.052,0.072
0.2,0.084,0.092
0.25,0.058,0.072
0.3,0.096,0.104
0.35,0.052,0.06
0.4,0.084,0.11
0.45,0.08,0.12
0.5,0.11,0.168
0.55,0.11,0.186
0.6,0.156,0.166
0.65,0.144,0.202
0.7,0.194,0.25
0.75,0.18,0.324
0.8,0.196,0.308
0.85,0.234,0.34
0.9,0.298,0.424
0.95,0.376,0.508
1.0,0.48,0.552
1.05,0.59,0.652
1.1,0.734,0.722
1.15,0.866,0.806
1.2,0.928,0.842
1.25,0.976,0.884
1.3,0.99,0.944
1.35,0.998,0.968
1.4,1.0,0.992
1.45,0.996,1.0
1.5,1.0,0.996
