θs,tp_hipm,tp_wow
0.0,0.0,0.0
0.01,0.409,0.401
0.02,0.544,0.551
0.03,0.616,0.624
0.04,0.671,0.669
0.05,0.705,0.707
0.06,0.735,0.733
0.07,0.752,0.759
0.08,0.766,0.781
0.09,0.786,0.789
0.1,0.805,0.803
0.11,0.817,0.821
0.12,0.837,0.832
0.13,0.847,0.844
0.14,0.858,0.852
0.15,0.865,0.861
0.16,0.874,0.868
0.17,0.88,0.873
0.18,0.884,0.882
0.19,0.888,0.887
0.2,0.891,0.895
0.21,0.894,0.902
0.22,0.898,0.905
0.23,0.903,0.908
0.24,0.91,0.912
0.25,0.915,0.916
0.26,0.92,0.919
0.27,0.924,0.92
0.28,0.93,0.925
0.29,0.932,0.928
0.3,0.933,0.933
0.31,0.935,0.938
0.32,0.94,0.94
0.33,0.941,0.942
0.34,0.945,0.944
0.35,0.947,0.947
0.36,0.95,0.949
0.37,0.951,0.95
0.38,0.951,0.952
0.39,0.953,0.953
0.4,0.954,0.955
0.41,0.954,0.958
0.42,0.955,0.958
0.43,0.956,0.959
0.44,0.959,0.961
0.45,0.961,0.964
0.46,0.962,0.964
0.47,0.962,0.965
0.48,0.963,0.968
0.49,0.966,0.968
0.5,0.968,0.969
0.51,0.969,0.971
0.52,0.97,0.974
0.53,0.971,0.976
0.54,0.972,0.978
0.55,0.974,0.979
0.56,0.974,0.979
0.57,0.975,0.979
0.58,0.975,0.979
0.59,0.978,0.98
0.6,0.98,0.983
0.61,0.981,0.984
0.62,0.985,0.985
0.63,0.985,0.985
0.64,0.986,0.986
0.65,0.986,0.987
0.66,0.988,0.987
0.67,0.99,0.987
0.68,0.99,0.988
0.69,0.991,0.99
0.7,0.992,0.99
0.71,0.992,0.991
0.72,0.992,0.993
0.73,0.993,0.994
0.74,0.993,0.994
0.75,0.995,0.994
0.76,0.995,0.994
0.77,0.995,0.994
0.78,0.996,0.995
0.79,0.997,0.995
0.8,0.997,0.995
0.81,0.997,0.995
0.82,0.997,0.996
0.83,0.997,0.996
0.84,0.997,0.997
0.85,0.997,0.997
0.86,0.997,0.997
0.87,0.997,0.997
0.88,0.998,0.997
0.89,0.998,0.997
0.9,0.998,0.997
0.91,0.998,0.998
0.92,0.999,0.998
0.93,0.999,0.998
0.94,0.999,0.998
0.95,0.999,1.0
0.96,0.999,1.0
0.97,0.999,1.0
0.98,0.999,1.0
0.99,1.0,1.0
1.0,1.0,1.0
