λs,hipm,wow,dm,energy
0.0,1.0,1.0,0.058,1.0
0.05,1.0,1.0,0.061,1.0
0.1,1.0,1.0,0.053,1.0
0.15,1.0,1.0,0.046,1.0
0.2,1.0,1.0,0.045,1.0
0.25,1.0,1.0,0.063,1.0
0.3,1.0,1.0,0.06,1.0
0.35,1.0,1.0,0.042,1.0
0.4,1.0,1.0,0.045,1.0
0.45,1.0,1.0,0.066,1.0
0.5,0.999,1.0,0.059,0.983
0.55,0.992,0.991,0.051,0.945
0.6,0.922,0.923,0.07,0.794
0.65,0.73,0.73,0.056,0.602
0.7,0.407,0.439,0.067,0.365
0.75,0.165,0.177,0.064,0.183
0.8,0.073,0.073,0.071,0.104
0.85,0.067,0.066,0.06,0.069
0.9,0.065,0.054,0.085,0.065
0.95,0.046,0.039,0.102,0.047
1.0,0.051,0.06,0.032,0.054
