repeat,m,fp_hipm,fp_wow
1,10,0.06,0.06
1,20,0.062,0.059
1,30,0.048,0.057
1,40,0.056,0.055
1,50,0.051,0.06
2,10,0.044,0.051
2,20,0.044,0.048
2,30,0.042,0.045
2,40,0.048,0.043
2,50,0.046,0.047
3,10,0.051,0.048
3,20,0.046,0.048
3,30,0.051,0.05
3,40,0.052,0.052
3,50,0.053,0.053
4,10,0.042,0.046
4,20,0.045,0.053
4,30,0.055,0.054
4,40,0.056,0.056
4,50,0.054,0.059
5,10,0.041,0.043
5,20,0.038,0.045
5,30,0.05,0.047
5,40,0.046,0.04
5,50,0.046,0.046
6,10,0.045,0.051
6,20,0.051,0.06
6,30,0.053,0.058
6,40,0.061,0.062
6,50,0.055,0.059
7,10,0.058,0.048
7,20,0.047,0.052
7,30,0.051,0.047
7,40,0.054,0.05
7,50,0.049,0.059
8,10,0.065,0.058
8,20,0.061,0.064
8,30,0.064,0.061
8,40,0.056,0.057
8,50,0.062,0.063
9,10,0.052,0.053
9,20,0.062,0.056
9,30,0.064,0.063
9,40,0.062,0.056
9,50,0.061,0.064
10,10,0.039,0.047
10,20,0.039,0.047
10,30,0.047,0.043
10,40,0.052,0.046
10,50,0.046,0.049
