θs,fp_hipm,fp_wow
0.0,0.0,0.0
0.01,0.011,0.011
0.02,0.02,0.018
0.03,0.028,0.021
0.04,0.038,0.034
0.05,0.044,0.045
0.06,0.054,0.062
0.07,0.062,0.07
0.08,0.073,0.081
0.09,0.084,0.091
0.1,0.098,0.107
0.11,0.107,0.117
0.12,0.115,0.126
0.13,0.122,0.132
0.14,0.132,0.143
0.15,0.145,0.15
0.16,0.156,0.161
0.17,0.166,0.169
0.18,0.18,0.176
0.19,0.191,0.185
0.2,0.203,0.196
0.21,0.216,0.21
0.22,0.222,0.223
0.23,0.232,0.234
0.24,0.244,0.248
0.25,0.256,0.257
0.26,0.267,0.273
0.27,0.279,0.277
0.28,0.284,0.282
0.29,0.298,0.294
0.3,0.307,0.305
0.31,0.319,0.32
0.32,0.33,0.329
0.33,0.341,0.34
0.34,0.351,0.351
0.35,0.36,0.358
0.36,0.368,0.365
0.37,0.378,0.372
0.38,0.386,0.39
0.39,0.4,0.396
0.4,0.411,0.408
0.41,0.421,0.417
0.42,0.434,0.427
0.43,0.447,0.435
0.44,0.462,0.441
0.45,0.474,0.45
0.46,0.479,0.468
0.47,0.484,0.477
0.48,0.489,0.488
0.49,0.498,0.493
0.5,0.508,0.505
0.51,0.515,0.518
0.52,0.522,0.528
0.53,0.532,0.534
0.54,0.541,0.545
0.55,0.546,0.555
0.56,0.557,0.561
0.57,0.565,0.571
0.58,0.576,0.581
0.59,0.584,0.592
0.6,0.596,0.605
0.61,0.605,0.611
0.62,0.617,0.624
0.63,0.629,0.63
0.64,0.639,0.64
0.65,0.646,0.645
0.66,0.66,0.649
0.67,0.67,0.657
0.68,0.676,0.67
0.69,0.687,0.683
0.7,0.695,0.688
0.71,0.711,0.697
0.72,0.718,0.707
0.73,0.723,0.715
0.74,0.733,0.727
0.75,0.748,0.741
0.76,0.762,0.748
0.77,0.774,0.759
0.78,0.78,0.772
0.79,0.789,0.785
0.8,0.795,0.803
0.81,0.804,0.814
0.82,0.812,0.822
0.83,0.824,0.829
0.84,0.832,0.837
0.85,0.843,0.846
0.86,0.856,0.854
0.87,0.866,0.867
0.88,0.881,0.881
0.89,0.89,0.891
0.9,0.895,0.894
0.91,0.906,0.907
0.92,0.917,0.917
0.93,0.925,0.924
0.94,0.934,0.936
0.95,0.942,0.943
0.96,0.957,0.951
0.97,0.966,0.955
0.98,0.975,0.965
0.99,0.979,0.976
1.0,0.99,0.987
