θs,tp_hipm,tp_wow
0.0,0.0,0.0
0.01,0.015,0.078
0.02,0.032,0.153
0.03,0.062,0.215
0.04,0.087,0.265
0.05,0.125,0.314
0.06,0.153,0.358
0.07,0.178,0.409
0.08,0.196,0.459
0.09,0.221,0.502
0.1,0.233,0.534
0.11,0.261,0.573
0.12,0.278,0.613
0.13,0.299,0.631
0.14,0.32,0.647
0.15,0.35,0.667
0.16,0.366,0.684
0.17,0.378,0.699
0.18,0.394,0.713
0.19,0.413,0.727
0.2,0.427,0.736
0.21,0.45,0.75
0.22,0.474,0.759
0.23,0.497,0.774
0.24,0.518,0.784
0.25,0.536,0.794
0.26,0.545,0.805
0.27,0.563,0.817
0.28,0.574,0.828
0.29,0.591,0.836
0.3,0.597,0.843
0.31,0.61,0.849
0.32,0.623,0.855
0.33,0.635,0.865
0.34,0.649,0.867
0.35,0.664,0.873
0.36,0.669,0.884
0.37,0.676,0.891
0.38,0.685,0.897
0.39,0.7,0.902
0.4,0.712,0.907
0.41,0.719,0.914
0.42,0.732,0.915
0.43,0.741,0.919
0.44,0.747,0.922
0.45,0.759,0.923
0.46,0.771,0.925
0.47,0.777,0.929
0.48,0.783,0.93
0.49,0.79,0.933
0.5,0.798,0.936
0.51,0.806,0.94
0.52,0.813,0.945
0.53,0.817,0.948
0.54,0.825,0.951
0.55,0.834,0.951
0.56,0.837,0.955
0.57,0.845,0.962
0.58,0.853,0.964
0.59,0.857,0.967
0.6,0.862,0.971
0.61,0.872,0.974
0.62,0.878,0.975
0.63,0.887,0.976
0.64,0.894,0.978
0.65,0.901,0.981
0.66,0.905,0.981
0.67,0.907,0.981
0.68,0.914,0.981
0.69,0.919,0.982
0.7,0.921,0.984
0.71,0.928,0.985
0.72,0.935,0.986
0.73,0.94,0.988
0.74,0.945,0.989
0.75,0.949,0.99
0.76,0.953,0.99
0.77,0.959,0.991
0.78,0.96,0.991
0.79,0.962,0.993
0.8,0.966,0.994
0.81,0.968,0.994
0.82,0.972,0.995
0.83,0.977,0.996
0.84,0.978,0.996
0.85,0.98,0.997
0.86,0.981,0.999
0.87,0.982,0.999
0.88,0.983,0.999
0.89,0.985,0.999
0.9,0.99,0.999
0.91,0.99,0.999
0.92,0.991,0.999
0.93,0.992,0.999
0.94,0.994,1.0
0.95,0.996,1.0
0.96,0.996,1.0
0.97,0.999,1.0
0.98,0.999,1.0
0.99,1.0,1.0
1.0,1.0,1.0
