λs,hipm,wow,dm,energy
0.0,1.0,1.0,0.058,1.0
0.05,1.0,1.0,0.061,1.0
0.1,1.0,1.0,0.061,1.0
0.15,1.0,1.0,0.062,1.0
0.2,1.0,1.0,0.054,1.0
0.25,1.0,1.0,0.06,1.0
0.3,1.0,1.0,0.066,1.0
0.35,1.0,1.0,0.064,1.0
0.4,1.0,1.0,0.051,1.0
0.45,1.0,1.0,0.046,1.0
0.5,0.999,0.996,0.067,0.984
0.55,0.979,0.983,0.054,0.932
0.6,0.932,0.937,0.058,0.81
0.65,0.734,0.756,0.069,0.574
0.7,0.398,0.417,0.054,0.321
0.75,0.162,0.177,0.076,0.174
0.8,0.074,0.091,0.055,0.099
0.85,0.066,0.065,0.065,0.081
0.9,0.076,0.081,0.077,0.076
0.95,0.053,0.057,0.097,0.063
1.0,0.067,0.071,0.033,0.071
