δs,hipm,wow,dm,energy
-1.0,1.0,1.0,1.0,1.0
-0.95,1.0,1.0,1.0,1.0
-0.9,1.0,1.0,1.0,1.0
-0.85,1.0,1.0,1.0,1.0
-0.8,1.0,1.0,1.0,1.0
-0.75,1.0,1.0,1.0,1.0
-0.7,1.0,1.0,1.0,1.0
-0.65,1.0,1.0,1.0,1.0
-0.6,1.0,1.0,0.999,1.0
-0.55,1.0,1.0,0.993,1.0
-0.5,1.0,1.0,0.971,1.0
-0.45,1.0,1.0,0.9,1.0
-0.4,1.0,1.0,0.737,0.999
-0.35,0.996,0.994,0.54,0.993
-0.3,0.98,0.983,0.29,0.976
-0.25,0.928,0.923,0.154,0.913
-0.2,0.766,0.76,0.098,0.755
-0.15,0.531,0.531,0.052,0.505
-0.1,0.276,0.27,0.045,0.26
-0.05,0.105,0.105,0.061,0.11
0.0,0.057,0.052,0.051,0.054
0.05,0.093,0.095,0.05,0.1
0.1,0.29,0.293,0.057,0.268
0.15,0.541,0.528,0.058,0.528
0.2,0.786,0.785,0.104,0.767
0.25,0.912,0.911,0.154,0.913
0.3,0.975,0.979,0.267,0.97
0.35,0.996,0.997,0.529,0.997
0.4,0.999,1.0,0.741,1.0
0.45,1.0,1.0,0.887,1.0
0.5,1.0,1.0,0.966,1.0
0.55,1.0,1.0,0.996,1.0
0.6,1.0,1.0,0.999,1.0
0.65,1.0,1.0,1.0,1.0
0.7,1.0,1.0,1.0,1.0
0.75,1.0,1.0,1.0,1.0
0.8,1.0,1.0,1.0,1.0
0.85,1.0,1.0,1.0,1.0
0.9,1.0,1.0,1.0,1.0
0.95,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
