τs,hipm,wow,dm,energy
0.1,1.0,1.0,1.0,1.0
0.15,1.0,1.0,1.0,1.0
0.2,1.0,1.0,1.0,1.0
0.25,1.0,1.0,1.0,1.0
0.3,1.0,1.0,1.0,0.998
0.35,0.999,1.0,1.0,0.995
0.4,0.995,0.996,1.0,0.967
0.45,0.985,0.998,1.0,0.923
0.5,0.964,0.986,1.0,0.846
0.55,0.866,0.929,1.0,0.665
0.6,0.732,0.812,0.999,0.512
0.65,0.563,0.651,0.989,0.339
0.7,0.361,0.456,0.928,0.228
0.75,0.23,0.301,0.771,0.15
0.8,0.138,0.16,0.554,0.085
0.85,0.094,0.108,0.336,0.081
0.9,0.063,0.061,0.156,0.047
0.95,0.052,0.052,0.089,0.058
1.0,0.047,0.054,0.051,0.048
1.05,0.054,0.056,0.074,0.048
1.1,0.06,0.073,0.148,0.062
1.15,0.105,0.107,0.26,0.088
1.2,0.102,0.116,0.406,0.078
1.25,0.168,0.199,0.577,0.115
1.3,0.228,0.278,0.703,0.171
1.35,0.285,0.355,0.817,0.189
1.4,0.397,0.47,0.89,0.272
1.45,0.539,0.617,0.94,0.361
1.5,0.569,0.65,0.971,0.394
1.55,0.668,0.752,0.975,0.503
1.6,0.762,0.835,0.997,0.602
1.65,0.816,0.875,0.997,0.643
1.7,0.901,0.945,1.0,0.76
1.75,0.922,0.955,0.999,0.813
1.8,0.942,0.969,1.0,0.842
1.85,0.971,0.982,1.0,0.903
1.9,0.983,0.992,1.0,0.936
1.95,0.987,1.0,1.0,0.96
2.0,0.991,0.997,1.0,0.968
2.05,0.998,0.999,1.0,0.981
2.1,0.995,0.996,1.0,0.984
2.15,1.0,1.0,1.0,0.992
2.2,0.999,1.0,1.0,0.996
2.25,0.999,1.0,1.0,0.997
2.3,1.0,1.0,1.0,0.998
2.35,1.0,1.0,1.0,1.0
2.4,1.0,1.0,1.0,1.0
2.45,1.0,1.0,1.0,1.0
2.5,1.0,1.0,1.0,1.0
