repeat,m,fp_hipm,fp_wow
1,10,0.055,0.055
1,20,0.053,0.058
1,30,0.057,0.053
1,40,0.046,0.057
1,50,0.054,0.056
2,10,0.053,0.056
2,20,0.054,0.059
2,30,0.054,0.05
2,40,0.052,0.044
2,50,0.053,0.042
3,10,0.047,0.04
3,20,0.042,0.044
3,30,0.037,0.043
3,40,0.045,0.043
3,50,0.043,0.042
4,10,0.047,0.043
4,20,0.051,0.055
4,30,0.049,0.043
4,40,0.044,0.04
4,50,0.045,0.044
5,10,0.047,0.052
5,20,0.046,0.047
5,30,0.04,0.056
5,40,0.056,0.048
5,50,0.056,0.055
6,10,0.05,0.043
6,20,0.055,0.05
6,30,0.058,0.057
6,40,0.061,0.063
6,50,0.056,0.054
7,10,0.04,0.042
7,20,0.048,0.048
7,30,0.047,0.044
7,40,0.047,0.044
7,50,0.042,0.039
8,10,0.048,0.052
8,20,0.044,0.041
8,30,0.041,0.041
8,40,0.043,0.047
8,50,0.046,0.048
9,10,0.052,0.049
9,20,0.049,0.048
9,30,0.049,0.053
9,40,0.046,0.052
9,50,0.047,0.039
10,10,0.044,0.05
10,20,0.049,0.05
10,30,0.046,0.047
10,40,0.045,0.045
10,50,0.05,0.056
