θs,tp_hipm,tp_wow
0.0,0.0,0.0
0.01,0.04,0.123
0.02,0.08,0.254
0.03,0.106,0.335
0.04,0.148,0.419
0.05,0.181,0.498
0.06,0.216,0.566
0.07,0.251,0.611
0.08,0.28,0.65
0.09,0.32,0.689
0.1,0.336,0.712
0.11,0.37,0.734
0.12,0.401,0.757
0.13,0.425,0.786
0.14,0.451,0.798
0.15,0.471,0.811
0.16,0.5,0.821
0.17,0.519,0.84
0.18,0.533,0.855
0.19,0.555,0.867
0.2,0.576,0.873
0.21,0.59,0.883
0.22,0.607,0.893
0.23,0.621,0.906
0.24,0.638,0.914
0.25,0.651,0.922
0.26,0.667,0.926
0.27,0.679,0.928
0.28,0.696,0.934
0.29,0.709,0.938
0.3,0.72,0.942
0.31,0.726,0.942
0.32,0.738,0.945
0.33,0.751,0.947
0.34,0.76,0.95
0.35,0.771,0.954
0.36,0.781,0.956
0.37,0.792,0.959
0.38,0.8,0.963
0.39,0.809,0.967
0.4,0.816,0.969
0.41,0.826,0.97
0.42,0.832,0.97
0.43,0.838,0.972
0.44,0.845,0.974
0.45,0.85,0.975
0.46,0.855,0.977
0.47,0.861,0.977
0.48,0.87,0.979
0.49,0.874,0.981
0.5,0.879,0.981
0.51,0.881,0.982
0.52,0.883,0.985
0.53,0.888,0.987
0.54,0.894,0.989
0.55,0.896,0.99
0.56,0.901,0.99
0.57,0.905,0.992
0.58,0.911,0.993
0.59,0.915,0.993
0.6,0.918,0.993
0.61,0.92,0.993
0.62,0.926,0.993
0.63,0.931,0.994
0.64,0.933,0.995
0.65,0.935,0.995
0.66,0.939,0.995
0.67,0.942,0.996
0.68,0.944,0.997
0.69,0.945,0.997
0.7,0.948,0.997
0.71,0.951,0.998
0.72,0.954,0.998
0.73,0.959,0.998
0.74,0.965,0.998
0.75,0.966,0.999
0.76,0.967,0.999
0.77,0.968,0.999
0.78,0.97,0.999
0.79,0.972,0.999
0.8,0.974,0.999
0.81,0.975,1.0
0.82,0.976,1.0
0.83,0.976,1.0
0.84,0.978,1.0
0.85,0.983,1.0
0.86,0.986,1.0
0.87,0.989,1.0
0.88,0.99,1.0
0.89,0.99,1.0
0.9,0.991,1.0
0.91,0.991,1.0
0.92,0.993,1.0
0.93,0.994,1.0
0.94,0.994,1.0
0.95,0.994,1.0
0.96,0.994,1.0
0.97,0.996,1.0
0.98,0.998,1.0
0.99,0.998,1.0
1.0,0.999,1.0
