δs,hipm,wow,dm,energy
-1.0,1.0,1.0,1.0,1.0
-0.95,1.0,1.0,1.0,1.0
-0.9,1.0,1.0,1.0,1.0
-0.85,1.0,1.0,1.0,1.0
-0.8,1.0,1.0,1.0,1.0
-0.75,1.0,1.0,1.0,1.0
-0.7,1.0,1.0,1.0,1.0
-0.65,1.0,1.0,0.999,1.0
-0.6,1.0,1.0,1.0,1.0
-0.55,1.0,1.0,0.992,1.0
-0.5,1.0,1.0,0.966,1.0
-0.45,1.0,1.0,0.886,1.0
-0.4,1.0,1.0,0.739,1.0
-0.35,1.0,0.999,0.512,1.0
-0.3,0.982,0.982,0.298,0.977
-0.25,0.926,0.924,0.17,0.912
-0.2,0.785,0.768,0.093,0.764
-0.15,0.515,0.532,0.054,0.522
-0.1,0.283,0.281,0.053,0.281
-0.05,0.103,0.091,0.047,0.099
0.0,0.041,0.043,0.042,0.042
0.05,0.09,0.099,0.041,0.091
0.1,0.235,0.238,0.05,0.233
0.15,0.525,0.522,0.055,0.516
0.2,0.77,0.762,0.089,0.755
0.25,0.916,0.91,0.16,0.909
0.3,0.986,0.982,0.271,0.98
0.35,1.0,0.999,0.496,0.999
0.4,1.0,1.0,0.727,1.0
0.45,1.0,1.0,0.881,1.0
0.5,1.0,1.0,0.979,1.0
0.55,1.0,1.0,0.993,1.0
0.6,1.0,1.0,0.999,1.0
0.65,1.0,1.0,1.0,1.0
0.7,1.0,1.0,1.0,1.0
0.75,1.0,1.0,1.0,1.0
0.8,1.0,1.0,1.0,1.0
0.85,1.0,1.0,1.0,1.0
0.9,1.0,1.0,1.0,1.0
0.95,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
