θs,fp_hipm,fp_wow
0.0,0.0,0.0
0.01,0.01,0.01
0.02,0.02,0.018
0.03,0.028,0.025
0.04,0.039,0.037
0.05,0.05,0.04
0.06,0.056,0.048
0.07,0.06,0.063
0.08,0.074,0.067
0.09,0.078,0.074
0.1,0.087,0.079
0.11,0.092,0.089
0.12,0.101,0.099
0.13,0.108,0.106
0.14,0.114,0.116
0.15,0.126,0.124
0.16,0.138,0.132
0.17,0.149,0.14
0.18,0.16,0.149
0.19,0.168,0.164
0.2,0.173,0.175
0.21,0.186,0.185
0.22,0.192,0.195
0.23,0.204,0.212
0.24,0.215,0.218
0.25,0.226,0.225
0.26,0.239,0.232
0.27,0.245,0.238
0.28,0.249,0.247
0.29,0.256,0.253
0.3,0.266,0.272
0.31,0.279,0.286
0.32,0.288,0.3
0.33,0.297,0.308
0.34,0.308,0.317
0.35,0.319,0.326
0.36,0.331,0.334
0.37,0.337,0.343
0.38,0.353,0.353
0.39,0.36,0.364
0.4,0.368,0.366
0.41,0.377,0.377
0.42,0.385,0.39
0.43,0.397,0.398
0.44,0.403,0.407
0.45,0.409,0.416
0.46,0.425,0.423
0.47,0.438,0.432
0.48,0.448,0.441
0.49,0.458,0.454
0.5,0.467,0.464
0.51,0.48,0.478
0.52,0.495,0.487
0.53,0.507,0.499
0.54,0.519,0.511
0.55,0.53,0.526
0.56,0.536,0.532
0.57,0.545,0.545
0.58,0.558,0.558
0.59,0.568,0.567
0.6,0.583,0.572
0.61,0.591,0.584
0.62,0.595,0.592
0.63,0.604,0.602
0.64,0.613,0.61
0.65,0.623,0.621
0.66,0.629,0.629
0.67,0.641,0.643
0.68,0.651,0.651
0.69,0.658,0.658
0.7,0.671,0.669
0.71,0.681,0.681
0.72,0.69,0.688
0.73,0.702,0.7
0.74,0.712,0.707
0.75,0.718,0.722
0.76,0.737,0.735
0.77,0.75,0.745
0.78,0.761,0.758
0.79,0.771,0.767
0.8,0.782,0.781
0.81,0.796,0.789
0.82,0.802,0.805
0.83,0.811,0.813
0.84,0.817,0.823
0.85,0.836,0.833
0.86,0.848,0.842
0.87,0.866,0.854
0.88,0.878,0.866
0.89,0.891,0.883
0.9,0.901,0.889
0.91,0.907,0.899
0.92,0.915,0.91
0.93,0.928,0.922
0.94,0.937,0.934
0.95,0.948,0.939
0.96,0.96,0.953
0.97,0.966,0.964
0.98,0.975,0.975
0.99,0.986,0.987
1.0,0.993,0.995
