θs,fp_hipm,fp_wow
0.0,0.0,0.0
0.01,0.006,0.007
0.02,0.018,0.018
0.03,0.033,0.025
0.04,0.041,0.041
0.05,0.047,0.049
0.06,0.058,0.057
0.07,0.067,0.063
0.08,0.074,0.069
0.09,0.082,0.08
0.1,0.096,0.088
0.11,0.113,0.101
0.12,0.118,0.113
0.13,0.13,0.124
0.14,0.143,0.136
0.15,0.156,0.144
0.16,0.162,0.156
0.17,0.175,0.172
0.18,0.182,0.182
0.19,0.19,0.191
0.2,0.197,0.197
0.21,0.208,0.205
0.22,0.214,0.219
0.23,0.219,0.228
0.24,0.225,0.233
0.25,0.234,0.239
0.26,0.24,0.245
0.27,0.246,0.253
0.28,0.256,0.265
0.29,0.266,0.27
0.3,0.277,0.276
0.31,0.283,0.287
0.32,0.292,0.294
0.33,0.3,0.308
0.34,0.31,0.317
0.35,0.321,0.334
0.36,0.332,0.346
0.37,0.344,0.355
0.38,0.358,0.368
0.39,0.368,0.376
0.4,0.375,0.386
0.41,0.392,0.392
0.42,0.399,0.401
0.43,0.411,0.409
0.44,0.426,0.422
0.45,0.436,0.427
0.46,0.445,0.437
0.47,0.452,0.448
0.48,0.463,0.455
0.49,0.478,0.467
0.5,0.491,0.48
0.51,0.499,0.495
0.52,0.513,0.504
0.53,0.516,0.515
0.54,0.529,0.528
0.55,0.534,0.533
0.56,0.54,0.544
0.57,0.545,0.554
0.58,0.553,0.559
0.59,0.564,0.569
0.6,0.576,0.578
0.61,0.588,0.583
0.62,0.598,0.593
0.63,0.61,0.605
0.64,0.62,0.617
0.65,0.631,0.626
0.66,0.645,0.638
0.67,0.654,0.65
0.68,0.659,0.659
0.69,0.674,0.672
0.7,0.687,0.681
0.71,0.698,0.687
0.72,0.708,0.699
0.73,0.718,0.709
0.74,0.728,0.719
0.75,0.738,0.726
0.76,0.749,0.738
0.77,0.754,0.747
0.78,0.765,0.758
0.79,0.785,0.769
0.8,0.79,0.779
0.81,0.802,0.793
0.82,0.813,0.809
0.83,0.826,0.82
0.84,0.832,0.833
0.85,0.842,0.839
0.86,0.853,0.85
0.87,0.862,0.857
0.88,0.871,0.866
0.89,0.88,0.875
0.9,0.889,0.885
0.91,0.897,0.9
0.92,0.902,0.906
0.93,0.914,0.916
0.94,0.924,0.925
0.95,0.935,0.935
0.96,0.949,0.947
0.97,0.961,0.959
0.98,0.969,0.966
0.99,0.979,0.978
1.0,0.99,0.986
