θs,fp_hipm,fp_wow
0.0,0.0,0.0
0.01,0.01,0.007
0.02,0.019,0.023
0.03,0.033,0.031
0.04,0.044,0.035
0.05,0.05,0.042
0.06,0.064,0.052
0.07,0.079,0.071
0.08,0.095,0.084
0.09,0.103,0.097
0.1,0.106,0.103
0.11,0.114,0.11
0.12,0.123,0.12
0.13,0.135,0.133
0.14,0.145,0.142
0.15,0.153,0.15
0.16,0.163,0.156
0.17,0.173,0.168
0.18,0.185,0.185
0.19,0.194,0.194
0.2,0.205,0.207
0.21,0.215,0.215
0.22,0.223,0.221
0.23,0.228,0.238
0.24,0.239,0.251
0.25,0.246,0.261
0.26,0.253,0.273
0.27,0.268,0.286
0.28,0.275,0.293
0.29,0.283,0.301
0.3,0.294,0.316
0.31,0.302,0.326
0.32,0.304,0.332
0.33,0.314,0.337
0.34,0.325,0.345
0.35,0.329,0.349
0.36,0.338,0.355
0.37,0.347,0.362
0.38,0.353,0.372
0.39,0.366,0.383
0.4,0.379,0.388
0.41,0.387,0.398
0.42,0.398,0.406
0.43,0.407,0.426
0.44,0.426,0.432
0.45,0.433,0.437
0.46,0.445,0.444
0.47,0.458,0.452
0.48,0.465,0.459
0.49,0.477,0.471
0.5,0.489,0.479
0.51,0.499,0.486
0.52,0.508,0.506
0.53,0.518,0.513
0.54,0.524,0.521
0.55,0.528,0.53
0.56,0.542,0.541
0.57,0.55,0.547
0.58,0.559,0.552
0.59,0.568,0.56
0.6,0.58,0.57
0.61,0.596,0.585
0.62,0.606,0.597
0.63,0.614,0.604
0.64,0.62,0.616
0.65,0.632,0.629
0.66,0.643,0.637
0.67,0.651,0.645
0.68,0.662,0.655
0.69,0.675,0.67
0.7,0.685,0.684
0.71,0.697,0.693
0.72,0.713,0.705
0.73,0.724,0.714
0.74,0.737,0.724
0.75,0.744,0.734
0.76,0.755,0.745
0.77,0.764,0.751
0.78,0.776,0.759
0.79,0.787,0.777
0.8,0.8,0.791
0.81,0.809,0.801
0.82,0.821,0.81
0.83,0.832,0.823
0.84,0.842,0.831
0.85,0.849,0.845
0.86,0.863,0.856
0.87,0.873,0.865
0.88,0.882,0.879
0.89,0.89,0.89
0.9,0.902,0.897
0.91,0.911,0.907
0.92,0.922,0.918
0.93,0.935,0.93
0.94,0.942,0.936
0.95,0.952,0.946
0.96,0.958,0.955
0.97,0.969,0.964
0.98,0.974,0.978
0.99,0.984,0.986
1.0,0.993,0.994
