θs,tp_hipm,tp_wow
0.0,0.0,0.0
0.01,0.005,0.154
0.02,0.013,0.318
0.03,0.024,0.444
0.04,0.041,0.571
0.05,0.056,0.661
0.06,0.074,0.738
0.07,0.088,0.799
0.08,0.109,0.851
0.09,0.141,0.887
0.1,0.171,0.914
0.11,0.193,0.932
0.12,0.213,0.945
0.13,0.245,0.955
0.14,0.267,0.961
0.15,0.286,0.968
0.16,0.316,0.981
0.17,0.342,0.986
0.18,0.366,0.989
0.19,0.39,0.991
0.2,0.414,0.995
0.21,0.445,0.996
0.22,0.467,0.997
0.23,0.492,0.998
0.24,0.513,0.998
0.25,0.536,0.998
0.26,0.551,0.999
0.27,0.572,1.0
0.28,0.595,1.0
0.29,0.615,1.0
0.3,0.644,1.0
0.31,0.665,1.0
0.32,0.681,1.0
0.33,0.689,1.0
0.34,0.7,1.0
0.35,0.721,1.0
0.36,0.738,1.0
0.37,0.748,1.0
0.38,0.767,1.0
0.39,0.78,1.0
0.4,0.79,1.0
0.41,0.796,1.0
0.42,0.809,1.0
0.43,0.822,1.0
0.44,0.831,1.0
0.45,0.839,1.0
0.46,0.844,1.0
0.47,0.855,1.0
0.48,0.863,1.0
0.49,0.874,1.0
0.5,0.883,1.0
0.51,0.891,1.0
0.52,0.897,1.0
0.53,0.903,1.0
0.54,0.905,1.0
0.55,0.912,1.0
0.56,0.919,1.0
0.57,0.925,1.0
0.58,0.928,1.0
0.59,0.932,1.0
0.6,0.938,1.0
0.61,0.942,1.0
0.62,0.948,1.0
0.63,0.951,1.0
0.64,0.955,1.0
0.65,0.959,1.0
0.66,0.961,1.0
0.67,0.964,1.0
0.68,0.966,1.0
0.69,0.969,1.0
0.7,0.971,1.0
0.71,0.975,1.0
0.72,0.978,1.0
0.73,0.98,1.0
0.74,0.983,1.0
0.75,0.987,1.0
0.76,0.987,1.0
0.77,0.987,1.0
0.78,0.988,1.0
0.79,0.988,1.0
0.8,0.989,1.0
0.81,0.989,1.0
0.82,0.99,1.0
0.83,0.991,1.0
0.84,0.991,1.0
0.85,0.992,1.0
0.86,0.992,1.0
0.87,0.993,1.0
0.88,0.993,1.0
0.89,0.994,1.0
0.9,0.995,1.0
0.91,0.995,1.0
0.92,0.996,1.0
0.93,0.996,1.0
0.94,0.997,1.0
0.95,0.997,1.0
0.96,0.998,1.0
0.97,1.0,1.0
0.98,1.0,1.0
0.99,1.0,1.0
1.0,1.0,1.0
