θs,tp_hipm,tp_wow
0.0,0.0,0.0
0.01,0.026,0.133
0.02,0.065,0.243
0.03,0.101,0.332
0.04,0.132,0.4
0.05,0.164,0.473
0.06,0.205,0.522
0.07,0.229,0.57
0.08,0.262,0.61
0.09,0.287,0.644
0.1,0.312,0.679
0.11,0.34,0.704
0.12,0.366,0.726
0.13,0.389,0.75
0.14,0.413,0.776
0.15,0.429,0.792
0.16,0.449,0.803
0.17,0.474,0.822
0.18,0.491,0.836
0.19,0.509,0.848
0.2,0.525,0.854
0.21,0.543,0.865
0.22,0.551,0.879
0.23,0.572,0.889
0.24,0.592,0.892
0.25,0.603,0.901
0.26,0.618,0.912
0.27,0.631,0.917
0.28,0.641,0.922
0.29,0.654,0.93
0.3,0.664,0.935
0.31,0.672,0.939
0.32,0.684,0.944
0.33,0.694,0.947
0.34,0.704,0.952
0.35,0.71,0.955
0.36,0.717,0.96
0.37,0.723,0.965
0.38,0.73,0.965
0.39,0.74,0.969
0.4,0.75,0.969
0.41,0.759,0.97
0.42,0.771,0.971
0.43,0.777,0.974
0.44,0.781,0.976
0.45,0.789,0.98
0.46,0.798,0.982
0.47,0.806,0.983
0.48,0.812,0.983
0.49,0.82,0.983
0.5,0.824,0.984
0.51,0.827,0.986
0.52,0.833,0.988
0.53,0.837,0.988
0.54,0.84,0.988
0.55,0.845,0.99
0.56,0.847,0.99
0.57,0.851,0.991
0.58,0.855,0.992
0.59,0.859,0.993
0.6,0.863,0.994
0.61,0.866,0.994
0.62,0.872,0.994
0.63,0.878,0.994
0.64,0.883,0.994
0.65,0.886,0.994
0.66,0.889,0.994
0.67,0.892,0.995
0.68,0.896,0.996
0.69,0.896,0.996
0.7,0.9,0.996
0.71,0.902,0.996
0.72,0.908,0.996
0.73,0.912,0.996
0.74,0.919,0.997
0.75,0.921,0.997
0.76,0.924,0.998
0.77,0.925,0.998
0.78,0.928,0.998
0.79,0.934,0.998
0.8,0.936,0.998
0.81,0.942,0.998
0.82,0.95,0.999
0.83,0.952,0.999
0.84,0.954,1.0
0.85,0.956,1.0
0.86,0.961,1.0
0.87,0.964,1.0
0.88,0.969,1.0
0.89,0.969,1.0
0.9,0.971,1.0
0.91,0.972,1.0
0.92,0.975,1.0
0.93,0.978,1.0
0.94,0.98,1.0
0.95,0.983,1.0
0.96,0.983,1.0
0.97,0.987,1.0
0.98,0.991,1.0
0.99,0.993,1.0
1.0,0.994,1.0
