δs,hipm,wow
0.0,0.05,0.056
0.05,0.052,0.06
0.1,0.056,0.07
0.15,0.068,0.08
0.2,0.076,0.066
0.25,0.082,0.07
0.3,0.082,0.098
0.35,0.066,0.074
0.4,0.102,0.136
0.45,0.102,0.152
0.5,0.142,0.166
0.55,0.112,0.15
0.6,0.132,0.176
0.65,0.154,0.208
0.7,0.178,0.228
0.75,0.182,0.232
0.8,0.22,0.316
0.85,0.258,0.338
0.9,0.346,0.394
0.95,0.386,0.416
1.0,0.528,0.51
1.05,0.596,0.574
1.1,0.698,0.638
1.15,0.798,0.666
1.2,0.898,0.816
1.25,0.928,0.858
1.3,0.984,0.894
1.35,0.996,0.946
1.4,0.998,0.962
1.45,0.998,0.984
1.5,1.0,0.986
