ns,theoretical
10,508.22288802998077
200010,3.593588666208422
400010,2.5410826768149635
600010,2.074793962250825
800010,1.7968280222610093
1000010,1.6071338495543053
1200010,1.467106993129123
1400010,1.3582779512480962
1600010,1.2705532496022507
1800010,1.1978895074678035
2000010,1.1364180843146416
2200010,1.083532375392309
2400010,1.0374034648092676
2600010,0.996705169153192
2800010,0.9604492651409537
3000010,0.9278822535790087
3200010,0.8984182224231513
3400010,0.8715937805871967
3600010,0.8470369702772151
3800010,0.8244453066782965
4000010,0.803569938139937
4200010,0.7842040079287077
4400010,0.7661739609238349
4600010,0.7493329532464184
4800010,0.7335557889108806
