τs,hipm,wow,dm,energy
0.1,1.0,1.0,1.0,1.0
0.15,1.0,1.0,1.0,1.0
0.2,1.0,1.0,1.0,1.0
0.25,1.0,1.0,1.0,1.0
0.3,1.0,1.0,1.0,0.998
0.35,0.999,1.0,1.0,0.991
0.4,1.0,1.0,1.0,0.963
0.45,0.984,0.998,1.0,0.93
0.5,0.961,0.985,1.0,0.805
0.55,0.872,0.927,1.0,0.687
0.6,0.727,0.82,0.999,0.491
0.65,0.548,0.668,0.98,0.343
0.7,0.356,0.456,0.924,0.223
0.75,0.216,0.297,0.792,0.136
0.8,0.125,0.18,0.554,0.093
0.85,0.093,0.121,0.354,0.077
0.9,0.068,0.074,0.154,0.054
0.95,0.038,0.04,0.081,0.04
1.0,0.046,0.047,0.046,0.048
1.05,0.046,0.051,0.066,0.046
1.1,0.057,0.06,0.144,0.054
1.15,0.085,0.096,0.272,0.075
1.2,0.113,0.149,0.41,0.089
1.25,0.144,0.165,0.577,0.095
1.3,0.225,0.267,0.726,0.147
1.35,0.314,0.392,0.829,0.202
1.4,0.412,0.483,0.903,0.268
1.45,0.489,0.574,0.95,0.33
1.5,0.593,0.679,0.975,0.423
1.55,0.693,0.775,0.987,0.507
1.6,0.762,0.838,0.995,0.598
1.65,0.826,0.898,0.999,0.68
1.7,0.876,0.915,0.999,0.729
1.75,0.926,0.965,1.0,0.812
1.8,0.951,0.978,0.999,0.859
1.85,0.966,0.979,1.0,0.908
1.9,0.976,0.991,1.0,0.933
1.95,0.991,0.999,1.0,0.959
2.0,0.991,0.999,1.0,0.978
2.05,0.996,0.999,1.0,0.976
2.1,0.999,1.0,1.0,0.993
2.15,1.0,1.0,1.0,0.994
2.2,1.0,1.0,1.0,0.998
2.25,1.0,1.0,1.0,0.998
2.3,1.0,1.0,1.0,0.999
2.35,1.0,1.0,1.0,0.998
2.4,1.0,1.0,1.0,1.0
2.45,1.0,1.0,1.0,0.999
2.5,1.0,1.0,1.0,1.0
